Date collected,Location,Provider,Source,Status,Time collected,bad signal ,internet ,landline internet ,limited channels ,mobile internet ,mobile phone ,no network or reception ,no signal ,no tv ,online viewing ,phone ,total blackout ,tv 
Thu 21 Mar 2019,dallas,Sprint,Down detector,No problems,13:12:16,,,,,51%,,,,,,39%,9%,
Thu 21 Mar 2019,houston,Sprint,Down detector,No problems,13:12:16,,,,,51%,,,,,,39%,9%,
Thu 21 Mar 2019,san-marcos,Sprint,Down detector,No problems,13:12:16,,,,,51%,,,,,,39%,9%,
Thu 21 Mar 2019,kansas-city,Sprint,Down detector,No problems,13:12:16,,,,,51%,,,,,,39%,9%,
Thu 21 Mar 2019,los-angeles,Sprint,Down detector,No problems,13:12:16,,,,,51%,,,,,,39%,9%,
Thu 21 Mar 2019,brooklyn,Sprint,Down detector,No problems,13:12:16,,,,,51%,,,,,,39%,9%,
Thu 21 Mar 2019,saint-louis,Sprint,Down detector,No problems,13:12:16,,,,,51%,,,,,,39%,9%,
Thu 21 Mar 2019,phoenix,Sprint,Down detector,No problems,13:12:16,,,,,51%,,,,,,39%,9%,
Thu 21 Mar 2019,naples,Verizon,Down detector,No problems,13:33:10,,,9%,,38%,51%,,,,,,,
Thu 21 Mar 2019,new-york,Verizon,Down detector,No problems,13:33:10,,,9%,,38%,51%,,,,,,,
Thu 21 Mar 2019,philadelphia,Verizon,Down detector,No problems,13:33:10,,,9%,,38%,51%,,,,,,,
Thu 21 Mar 2019,marco-island,Verizon,Down detector,No problems,13:33:10,,,9%,,38%,51%,,,,,,,
Thu 21 Mar 2019,brooklyn,Verizon,Down detector,No problems,13:33:10,,,9%,,38%,51%,,,,,,,
Thu 21 Mar 2019,charlotte,Verizon,Down detector,No problems,13:33:10,,,9%,,38%,51%,,,,,,,
Thu 21 Mar 2019,sumter,Verizon,Down detector,No problems,13:33:10,,,9%,,38%,51%,,,,,,,
Thu 21 Mar 2019,atlanta,Verizon,Down detector,No problems,13:33:10,,,9%,,38%,51%,,,,,,,
Thu 21 Mar 2019,tampa,Verizon,Down detector,No problems,13:33:10,,,9%,,38%,51%,,,,,,,
Thu 21 Mar 2019,indianapolis,Verizon,Down detector,No problems,13:33:10,,,9%,,38%,51%,,,,,,,
Thu 21 Mar 2019,huntsville,Google-Fiber,Down detector,No problems,13:27:17,,100%,,,,,,,,,,,
Thu 21 Mar 2019,charlotte,Google-Fiber,Down detector,No problems,13:27:17,,100%,,,,,,,,,,,
Thu 21 Mar 2019,atlanta,Google-Fiber,Down detector,No problems,13:27:17,,100%,,,,,,,,,,,
